Pop	Treat	Pop_Treat	Tube	ID	Day	eggs	pupa	imag	EMiscount
Akaa	Ctrl	Akaa_Ctrl	A15	A15_Ctrl	13_14	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A16	A16_Ctrl	13_14	5	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A17	A17_Ctrl	13_14	2	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A18	A18_Ctrl	13_14	16	8	5	0
Akaa	T37	Akaa_T37	A1	A1_T37	13_14	29	20	19	0
Akaa	T37	Akaa_T37	A2	A2_T37	13_14	38	36	27	0
Akaa	T37	Akaa_T37	A3	A3_T37	13_14	37	37	30	5
Akaa	T37	Akaa_T37	A4	A4_T37	13_14	22	12	12	0
Akaa	T37	Akaa_T37	A5	A5_T37	13_14	49	36	29	0
Akaa	T37	Akaa_T37	A6	A6_T37	13_14	33	23	19	0
Akaa	T37	Akaa_T37	A7	A7_T37	13_14	27	22	20	0
Akaa	T37	Akaa_T37	A8	A8_T37	13_14	42	17	14	0
Akaa	T37	Akaa_T37	A9	A9_T37	13_14	41	23	17	0
Akaa	T37	Akaa_T37	A10	A10_T37	13_14	21	14	11	0
Akaa	T37	Akaa_T37	A11	A11_T37	13_14	16	1	1	0
Akaa	T37	Akaa_T37	A12	A12_T37	13_14	33	11	11	0
Akaa	T37	Akaa_T37	A13	A13_T37	13_14	22	7	7	0
Akaa	T37	Akaa_T37	A14	A14_T37	13_14	0	0	0	0
Akaa	T37	Akaa_T37	A15	A15_T37	13_14	3	0	0	0
Akaa	T37	Akaa_T37	A16	A16_T37	13_14	0	0	0	0
Akaa	T37	Akaa_T37	A17	A17_T37	13_14	50	31	31	0
Akaa	T37	Akaa_T37	A18	A18_T37	13_14	21	20	20	0
Manz	Ctrl	Manz_Ctrl	M1	M1_Ctrl	13_14	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M2	M2_Ctrl	13_14	52	6	6	0
Manz	Ctrl	Manz_Ctrl	M3	M3_Ctrl	13_14	58	58	52	16
Manz	Ctrl	Manz_Ctrl	M4	M4_Ctrl	13_14	73	57	25	0
Manz	Ctrl	Manz_Ctrl	M5	M5_Ctrl	13_14	60	0	0	0
Manz	Ctrl	Manz_Ctrl	M6	M6_Ctrl	13_14	33	14	13	0
Manz	Ctrl	Manz_Ctrl	M7	M7_Ctrl	13_14	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M8	M8_Ctrl	13_14	45	26	22	0
Manz	Ctrl	Manz_Ctrl	M9	M9_Ctrl	13_14	52	0	0	0
Manz	Ctrl	Manz_Ctrl	M10	M10_Ctrl	13_14	65	16	13	0
Manz	Ctrl	Manz_Ctrl	M11	M11_Ctrl	13_14	53	45	36	0
Manz	Ctrl	Manz_Ctrl	M12	M12_Ctrl	13_14	36	16	11	0
Manz	Ctrl	Manz_Ctrl	M13	M13_Ctrl	13_14	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M14	M14_Ctrl	13_14	13	5	3	0
Manz	Ctrl	Manz_Ctrl	M15	M15_Ctrl	13_14	33	8	6	0
Manz	Ctrl	Manz_Ctrl	M16	M16_Ctrl	13_14	58	0	0	0
Manz	Ctrl	Manz_Ctrl	M17	M17_Ctrl	13_14	13	0	0	0
Manz	Ctrl	Manz_Ctrl	M18	M18_Ctrl	13_14	57	37	26	0
Manz	T37	Manz_T37	M1	M1_T37	13_14	29	28	10	0
Manz	T37	Manz_T37	M2	M2_T37	13_14	69	59	47	0
Manz	T37	Manz_T37	M3	M3_T37	13_14	32	26	24	0
Manz	T37	Manz_T37	M4	M4_T37	13_14	65	37	21	0
Manz	T37	Manz_T37	M5	M5_T37	13_14	0	0	0	0
Manz	T37	Manz_T37	M6	M6_T37	13_14	54	5	4	0
Manz	T37	Manz_T37	M7	M7_T37	13_14	29	0	0	0
Manz	T37	Manz_T37	M8	M8_T37	13_14	19	6	6	0
Manz	T37	Manz_T37	M9	M9_T37	13_14	28	0	0	0
Manz	T37	Manz_T37	M10	M10_T37	13_14	45	20	20	0
Manz	T37	Manz_T37	M11	M11_T37	13_14	51	23	6	0
Manz	T37	Manz_T37	M12	M12_T37	13_14	47	23	19	0
Manz	T37	Manz_T37	M13	M13_T37	13_14	37	2	1	0
Manz	T37	Manz_T37	M14	M14_T37	13_14	44	28	26	0
Manz	T37	Manz_T37	M15	M15_T37	13_14	52	1	0	0
Manz	T37	Manz_T37	M16	M16_T37	13_14	52	48	29	0
Manz	T37	Manz_T37	M17	M17_T37	13_14	30	17	17	0
Manz	T37	Manz_T37	M18	M18_T37	13_14	0	0	0	0
